	bin	Depth CAPES_S11	Depth CAPES_S21	Depth CAPES_S7	GenomeBin	Domain	%Complete (domain)	%Complete and single-copy (domain)	%Complete and duplicated (domain)	%Fragmented (domain)	%Missing (domain)	Total number (domain)	Specific lineage dataset	%Complete (specific)	%Complete and single-copy (specific)	%Complete and duplicated (specific)	%Fragmented (specific)	%Missing (specific)	Total number (specific)	Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp	# predicted rRNA genes	user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
247	SPAdesHybrid-CAPES_S21.11.fa	27.4733	92.2157	58.0296	SPAdesHybrid-CAPES_S21.11.fa	bacteria_odb10	74.2	71.0	3.2	3.2	22.6	124.0	bacteroidales_odb10	78.8	78.2	0.6	0.0	21.2	541.0	SPAdesHybrid-CAPES_S21.11.fa	23	23	23	21	18	14	3118868	3118868	3118868	3102335	3042543	2864688	23	387285	3118868	46.31	290999	124892	5	9	22.48	2 + 0 part	SPAdesHybrid-CAPES_S21.11.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	GCF_000154205.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.9	0.9	GCF_000154205.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.9	0.9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000614125.1, s__Bacteroides rodentium, 95.0, 94.89, 0.69; GCF_004793475.1, s__Bacteroides sp002491635, 95.0, 92.28, 0.65; GCA_902388495.1, s__Bacteroides sp902388495, 95.0, 81.94, 0.46; GCF_000195635.1, s__Bacteroides fluxus, 95.0, 81.7, 0.46; GCF_000154525.1, s__Bacteroides stercoris, 95.0, 80.58, 0.39; GCF_003438615.1, s__Bacteroides sp003545565, 95.0, 80.45, 0.38; GCF_900129655.1, s__Bacteroides clarus, 95.0, 80.44, 0.39; GCF_000155815.1, s__Bacteroides eggerthii, 95.0, 80.24, 0.36; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 80.14, 0.39; GCF_000186225.1, s__Bacteroides helcogenes, 95.0, 80.07, 0.39; GCF_900241005.1, s__Bacteroides cutis, 95.0, 80.05, 0.32; GCF_004342845.1, s__Bacteroides heparinolyticus, 95.0, 80.0, 0.38; GCF_900108345.1, s__Bacteroides ndongoniae, 95.0, 79.97, 0.29; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 79.77, 0.35; GCF_002998435.1, s__Bacteroides zoogleoformans, 95.0, 79.74, 0.34; GCF_000614165.1, s__Bacteroides stercorirosoris, 95.0, 79.72, 0.38; GCF_902364365.1, s__Bacteroides sp900556215, 95.2143, 79.67, 0.36; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.2143, 79.57, 0.35; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 79.47, 0.38; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 79.34, 0.35; GCF_000158035.1, s__Bacteroides cellulosilyticus, 95.0, 79.32, 0.36; GCA_900552405.1, s__Bacteroides sp900552405, 95.0, 79.3, 0.32; GCA_900555635.1, s__Bacteroides sp900555635, 95.0, 79.27, 0.4; GCA_900760255.1, s__Bacteroides sp900760255, 95.0, 79.22, 0.17; GCF_903181435.1, s__Bacteroides acidifaciens_A, 95.0, 79.05, 0.2; GCF_000614145.1, s__Bacteroides faecichinchillae, 95.0, 78.99, 0.16; GCF_001688725.2, s__Bacteroides caecimuris, 95.0, 78.95, 0.19; GCF_900130135.1, s__Bacteroides togonis, 95.0, 78.94, 0.23; GCF_009193325.2, s__Bacteroides sp900066265, 95.8579, 78.9, 0.19; GCF_900128475.1, s__Bacteroides massiliensis_A, 95.0, 78.89, 0.26; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 78.85, 0.11; GCF_000613465.1, s__Bacteroides nordii, 95.0, 78.8, 0.19; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 78.71, 0.21; GCF_900106755.1, s__Bacteroides faecis, 95.0, 78.71, 0.22; GCF_000613385.1, s__Bacteroides acidifaciens, 95.0, 78.7, 0.2; GCF_002849695.1, s__Bacteroides fragilis_A, 95.0, 78.68, 0.2; GCF_000156195.1, s__Bacteroides finegoldii, 95.8579, 78.66, 0.2; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 78.63, 0.2; GCA_000210075.1, s__Bacteroides xylanisolvens, 95.0, 78.56, 0.21; GCF_900155865.1, s__Bacteroides bouchesdurhonensis, 95.0, 78.49, 0.15; GCF_003865075.1, s__Bacteroides sp003865075, 95.0, 78.47, 0.16; GCF_002222615.2, s__Bacteroides caccae, 95.0, 78.46, 0.19; GCF_014334015.1, s__Bacteroides sp003463205, 95.0, 78.45, 0.2; GCF_902362375.1, s__Bacteroides sp902362375, 95.0, 78.44, 0.2; GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 78.44, 0.19; GCF_009193295.2, s__Bacteroides sp007097645, 95.0, 78.41, 0.2; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 78.41, 0.24; GCF_000025985.1, s__Bacteroides fragilis, 95.0, 78.39, 0.2; GCF_012113595.1, s__Bacteroides sp012113595, 95.0, 78.37, 0.22; GCA_002471185.1, s__Bacteroides sp002471185, 95.0, 78.34, 0.07; GCA_014385165.1, s__Bacteroides sp014385165, 95.0, 78.33, 0.17; GCA_900547205.1, s__Bacteroides sp900547205, 95.0, 78.22, 0.18; GCA_002293435.1, s__Bacteroides sp002293435, 95.0, 78.15, 0.23; GCF_000499785.1, s__Bacteroides neonati, 95.0, 78.13, 0.12; GCA_900553815.1, s__Bacteroides sp900553815, 95.0, 78.04, 0.18; GCA_900557355.1, s__Bacteroides sp900557355, 95.0, 77.96, 0.16; GCF_010500995.1, s__Bacteroides sp010500995, 95.0, 77.94, 0.09; GCA_900765805.1, s__Bacteroides sp900765805, 95.0, 77.93, 0.14; GCF_000428105.1, s__Bacteroides pyogenes, 95.0, 77.89, 0.14; GCF_014196225.1, s__Bacteroides pyogenes_A, 95.0, 77.88, 0.15; GCA_009929715.1, s__Bacteroides sp009929715, 95.0, 77.83, 0.08; GCA_900766005.1, s__Bacteroides sp900766005, 95.0, 77.81, 0.16; GCF_000517545.1, s__Bacteroides reticulotermitis, 95.0, 77.8, 0.14; GCF_010501015.1, s__Bacteroides sp010501015, 95.0, 77.64, 0.06; GCA_900765785.1, s__Bacteroides sp900765785, 95.0, 77.64, 0.16; GCA_002471195.1, s__Bacteroides sp002471195, 95.0, 77.63, 0.06; GCA_900766195.1, s__Bacteroides sp900766195, 95.0, 77.59, 0.12; GCF_002160055.1, s__Bacteroides sp002160055, 95.0, 77.58, 0.15; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 77.54, 0.12; GCF_010500965.1, s__Bacteroides sp010500965, 95.0, 77.52, 0.12; GCA_900761785.1, s__Bacteroides sp900761785, 95.0, 77.51, 0.19; GCF_010500955.1, s__Bacteroides sp010500955, 95.0, 77.49, 0.08; GCF_007896885.1, s__Bacteroides sp007896885, 95.0, 77.45, 0.12; GCA_900762525.1, s__Bacteroides sp900762525, 95.0, 77.32, 0.12; GCF_900104585.1, s__Bacteroides ihuae, 95.0, 77.3, 0.09; GCA_002307035.1, s__Bacteroides sp002307035, 95.0, 77.15, 0.09; GCF_000428125.1, s__Bacteroides graminisolvens, 95.0, 77.1, 0.1	75.82	11.0		
248	SPAdesHybrid-CAPES_S21.12.fa	12.9087	52.29305	0.543622	SPAdesHybrid-CAPES_S21.12.fa	bacteria_odb10	12.9	12.1	0.8	0.8	86.3	124.0								SPAdesHybrid-CAPES_S21.12.fa	6	6	6	6	6	5	564668	564668	564668	564668	564668	523535	6	156563	564668	41.11	94222	82727	3	4	0.0	0 + 0 part	SPAdesHybrid-CAPES_S21.12.fa																			
249	SPAdesHybrid-CAPES_S21.13.fa	0.06555230000000001	19.9187	0.114943	SPAdesHybrid-CAPES_S21.13.fa	bacteria_odb10	8.9	8.1	0.8	4.0	87.1	124.0								SPAdesHybrid-CAPES_S21.13.fa	441	441	143	53	4	0	2331879	2331879	1490872	869049	146589	0	441	45487	2331879	41.57	6962	3642	89	205	4.72	0 + 1 part	SPAdesHybrid-CAPES_S21.13.fa																			
250	SPAdesHybrid-CAPES_S21.14.fa	21.6048	72.021	41.9372	SPAdesHybrid-CAPES_S21.14.fa	archaea_odb10	3.1	3.1	0.0	0.5	96.4	194.0								SPAdesHybrid-CAPES_S21.14.fa	3	3	3	2	1	1	276420	276420	276420	267736	256775	256775	3	256775	276420	42.21	256775	256775	1	1	3.62	0 + 0 part	SPAdesHybrid-CAPES_S21.14.fa																			
251	SPAdesHybrid-CAPES_S21.15.fa	0.0	15.4868	0.0	SPAdesHybrid-CAPES_S21.15.fa	bacteria_odb10	93.5	93.5	0.0	2.4	4.1	124.0	burkholderiales_odb10	79.2	78.8	0.4	1.6	19.2	688.0	SPAdesHybrid-CAPES_S21.15.fa	207	207	136	81	18	2	2391075	2391075	2172897	1760561	716236	142642	207	88389	2391075	48.97	17902	9720	41	85	5.44	2 + 0 part	SPAdesHybrid-CAPES_S21.15.fa	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella sp000980495	GCA_000980495.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella sp000980495	99.1	0.85	GCA_000980495.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella sp000980495	99.1	0.85	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900766055.1, s__Parasutterella sp900766055, 95.0, 92.82, 0.78; GCA_900552195.1, s__Parasutterella sp900552195, 95.0, 92.27, 0.88; GCF_000205025.1, s__Parasutterella excrementihominis, 95.0, 90.28, 0.84; GCA_900554375.1, s__Parasutterella sp900554375, 95.0, 85.25, 0.74; GCF_009767915.1, s__Parasutterella sp009767915, 95.0, 78.39, 0.28	96.17	11.0		
252	SPAdesHybrid-CAPES_S21.16.fa	0.0	2.016135	0.0	SPAdesHybrid-CAPES_S21.16.fa	bacteria_odb10	3.2	3.2	0.0	13.7	83.1	124.0	mollicutes_odb10	4.0	4.0	0.0	4.6	91.4	151.0	SPAdesHybrid-CAPES_S21.16.fa	202	202	28	4	0	0	706176	706176	215264	54675	0	0	202	23490	706176	51.06	3842	2609	61	116	0.0	0 + 0 part	SPAdesHybrid-CAPES_S21.16.fa																			
253	SPAdesHybrid-CAPES_S21.17.fa	38.8069	4.34916	86.3214	SPAdesHybrid-CAPES_S21.17.fa	bacteria_odb10	20.2	20.2	0.0	22.6	57.2	124.0								SPAdesHybrid-CAPES_S21.17.fa	709	709	206	40	0	0	3101920	3101920	1631039	513483	0	0	709	19058	3101920	51.37	5169	3343	191	378	0.97	0 + 0 part	SPAdesHybrid-CAPES_S21.17.fa																			
254	SPAdesHybrid-CAPES_S21.18.fa	0.3427	2.56756	0.0	SPAdesHybrid-CAPES_S21.18.fa	bacteria_odb10	4.0	4.0	0.0	9.7	86.3	124.0								SPAdesHybrid-CAPES_S21.18.fa	199	199	5	0	0	0	505255	505255	28185	0	0	0	199	6840	505255	62.77	2700	1995	72	127	0.0	0 + 0 part	SPAdesHybrid-CAPES_S21.18.fa																			
255	SPAdesHybrid-CAPES_S21.19.fa	0.0	110.969	0.0	SPAdesHybrid-CAPES_S21.19.fa	Viruses							tevenvirinae_odb10	3.7	3.7	0.0	0.0	96.3	27.0	SPAdesHybrid-CAPES_S21.19.fa	21	21	16	14	3	1	340327	340327	323216	309336	136418	68055	21	68055	340327	38.82	22078	13676	5	10	0.0	0 + 0 part	SPAdesHybrid-CAPES_S21.19.fa																			
256	SPAdesHybrid-CAPES_S21.2.fa	0.0	11.6218	0.0	SPAdesHybrid-CAPES_S21.2.fa	bacteria_odb10	93.6	20.2	73.4	1.6	4.8	124.0								SPAdesHybrid-CAPES_S21.2.fa	489	489	218	106	22	3	3738012	3738012	2973427	2193462	862400	233862	489	105100	3738012	36.03	13441	5782	79	186	36.89	0 + 0 part	SPAdesHybrid-CAPES_S21.2.fa																			
257	SPAdesHybrid-CAPES_S21.20.fa	0.0	6.7199	0.0	SPAdesHybrid-CAPES_S21.20.fa	bacteria_odb10	20.2	20.2	0.0	11.3	68.5	124.0								SPAdesHybrid-CAPES_S21.20.fa	473	473	9	0	0	0	1118880	1118880	49878	0	0	0	473	6244	1118880	50.53	2340	1885	174	307	1.79	0 + 0 part	SPAdesHybrid-CAPES_S21.20.fa																			
258	SPAdesHybrid-CAPES_S21.21.fa	5.9768550000000005	63.1866	0.05068335	SPAdesHybrid-CAPES_S21.21.fa	bacteria_odb10	0.8	0.8	0.0	0.8	98.4	124.0								SPAdesHybrid-CAPES_S21.21.fa	4	4	4	4	3	1	227121	227121	227121	227121	212038	150762	4	150762	227121	45.04	150762	34458	1	2	0.0	0 + 0 part	SPAdesHybrid-CAPES_S21.21.fa																			
259	SPAdesHybrid-CAPES_S21.22.fa	12.6489	8.91013	0.0	SPAdesHybrid-CAPES_S21.22.fa	bacteria_odb10	54.8	54.0	0.8	12.1	33.1	124.0	clostridiales_odb10	59.5	59.5	0.0	8.3	32.2	264.0	SPAdesHybrid-CAPES_S21.22.fa	905	905	218	31	0	0	3609615	3609615	1625240	397036	0	0	905	22430	3609615	50.82	4568	3036	256	501	3.6	0 + 0 part	SPAdesHybrid-CAPES_S21.22.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae	GCF_002234575.2	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae	99.19	0.98	GCF_002234575.2	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae	99.19	0.98	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000424325.1, s__Enterocloster clostridioformis_A, 95.0, 91.64, 0.69; GCF_900113155.1, s__Enterocloster clostridioformis, 95.0, 91.12, 0.77; GCF_005845215.1, s__Enterocloster sp005845215, 95.0, 88.32, 0.9; GCF_000155435.1, s__Enterocloster sp000155435, 95.0, 80.37, 0.48; GCF_003434055.1, s__Enterocloster aldenensis, 95.0, 80.08, 0.47; GCF_000233455.1, s__Enterocloster citroniae, 95.0, 79.65, 0.46; GCF_900753815.1, s__Enterocloster sp900753815, 95.0, 78.94, 0.19; GCA_900555045.1, s__Enterocloster sp900555045, 95.0, 78.7, 0.22; GCA_001304855.1, s__Enterocloster sp001304855, 95.0, 78.58, 0.33; GCF_900770345.1, s__Enterocloster sp900770345, 95.0, 78.35, 0.2; GCA_900549235.1, s__Enterocloster sp900549235, 95.0, 78.29, 0.21; GCF_009696375.1, s__Enterocloster sp900540675, 95.0, 77.97, 0.2; GCF_001517625.2, s__Enterocloster sp001517625, 95.0, 77.92, 0.15; GCF_003473545.1, s__Enterocloster sp000431375, 95.0, 77.79, 0.14; GCA_900547035.1, s__Enterocloster sp900547035, 95.0, 77.78, 0.14; GCA_900551225.1, s__Enterocloster sp900551225, 95.0, 77.77, 0.26; GCA_900555905.1, s__Enterocloster sp900555905, 95.0, 77.76, 0.22; GCF_000158075.1, s__Enterocloster asparagiformis, 95.0, 77.74, 0.27; GCF_902364025.1, s__Enterocloster lavalensis, 95.0, 77.74, 0.31; GCA_900543885.1, s__Enterocloster sp900543885, 95.0, 77.64, 0.12; GCF_013282095.1, s__Enterocloster sp900538485, 95.0, 77.61, 0.17; GCF_900759225.1, s__Enterocloster sp900759225, 95.0, 77.25, 0.17; GCA_900541315.1, s__Enterocloster sp900541315, 95.0, 77.03, 0.1	56.16	11.0		
260	SPAdesHybrid-CAPES_S21.23.fa	0.0	6.8517850000000005	0.0	SPAdesHybrid-CAPES_S21.23.fa	bacteria_odb10	20.2	20.2	0.0	15.3	64.5	124.0								SPAdesHybrid-CAPES_S21.23.fa	1154	1154	77	5	0	0	3189521	3189521	512662	58847	0	0	1154	13332	3189521	46.8	2826	2077	374	705	2.19	0 + 0 part	SPAdesHybrid-CAPES_S21.23.fa																			
261	SPAdesHybrid-CAPES_S21.24.fa	10.8977	211.2185	43.30445	SPAdesHybrid-CAPES_S21.24.fa	bacteria_odb10	94.4	94.4	0.0	0.8	4.8	124.0	actinobacteria_class_odb10	89.9	89.3	0.6	1.1	9.0	356.0	SPAdesHybrid-CAPES_S21.24.fa	20	20	20	20	19	13	2456969	2456969	2456969	2456969	2446027	2206047	20	486683	2456969	59.9	196030	113914	4	9	17.34	1 + 1 part	SPAdesHybrid-CAPES_S21.24.fa	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	GCF_000196555.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	98.31	0.83	GCF_000196555.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	98.31	0.83	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000269965.1, s__Bifidobacterium infantis, 95.0, 94.98, 0.75; GCF_001025175.1, s__Bifidobacterium breve, 95.0, 87.29, 0.69; GCF_003129905.1, s__Bifidobacterium callitrichidarum, 95.0, 84.15, 0.63; GCF_002259745.1, s__Bifidobacterium myosotis, 95.0, 83.41, 0.62; GCF_009193305.1, s__Bifidobacterium sp009193305, 95.0, 83.22, 0.57; GCF_000741695.1, s__Bifidobacterium reuteri, 95.0, 83.16, 0.58; GCF_002802915.1, s__Bifidobacterium felsineum, 95.0, 82.96, 0.56; GCF_012932375.1, s__Bifidobacterium sp012932375, 95.0, 82.79, 0.55; GCF_002860365.1, s__Bifidobacterium parmae, 95.0, 82.56, 0.52; GCF_010667645.1, s__Bifidobacterium sp010667645, 95.0, 82.55, 0.53; GCF_002860405.1, s__Bifidobacterium imperatoris, 95.0, 82.53, 0.53; GCF_000741715.1, s__Bifidobacterium saguini, 95.0, 82.44, 0.55; GCF_000741175.1, s__Bifidobacterium callitrichos, 95.0, 82.41, 0.54; GCF_001042635.1, s__Bifidobacterium scardovii, 95.0, 82.39, 0.53; GCF_008698235.1, s__Bifidobacterium rousetti, 95.0, 82.37, 0.52; GCF_002802865.1, s__Bifidobacterium scaligerum, 95.0, 82.36, 0.56; GCF_000741785.1, s__Bifidobacterium stellenboschense, 95.0, 82.35, 0.53; GCF_001025135.1, s__Bifidobacterium bifidum, 95.0, 82.18, 0.49; GCF_001417815.1, s__Bifidobacterium aesculapii, 95.0, 82.18, 0.5; GCF_009299475.1, s__Bifidobacterium avesanii, 95.0, 81.85, 0.47; GCF_001042615.1, s__Bifidobacterium kashiwanohense, 96.3948, 81.74, 0.41; GCF_000741165.1, s__Bifidobacterium biavatii, 95.0, 81.71, 0.47; GCF_012932365.1, s__Bifidobacterium sp012932365, 95.0, 81.69, 0.44; GCF_012932425.1, s__Bifidobacterium sp012932425, 95.0, 81.64, 0.5; GCF_001025155.1, s__Bifidobacterium angulatum, 95.0, 81.64, 0.44; GCF_009299505.1, s__Bifidobacterium ramosum, 95.0, 81.62, 0.51; GCF_010667685.1, s__Bifidobacterium aerophilum, 95.0, 81.56, 0.5; GCF_009193355.1, s__Bifidobacterium sp009193355, 95.0, 81.53, 0.45; GCF_012932675.1, s__Bifidobacterium sp012932675, 95.0, 81.49, 0.46; GCF_008698145.1, s__Bifidobacterium vespertilionis, 95.0, 81.38, 0.45; GCF_002259685.1, s__Bifidobacterium eulemuris, 95.0, 81.38, 0.48; GCF_001895165.1, s__Bifidobacterium lemurum, 95.0, 81.3, 0.5; GCF_000010425.1, s__Bifidobacterium adolescentis, 95.0, 81.3, 0.51; GCF_000770925.1, s__Bifidobacterium ruminantium, 95.0, 81.21, 0.42; GCF_900129045.1, s__Bifidobacterium merycicum, 95.0, 81.16, 0.46; GCF_003952945.1, s__Bifidobacterium samirii, 95.0, 81.02, 0.44; GCF_000800455.1, s__Bifidobacterium kashiwanohense_A, 95.1942, 80.97, 0.39; GCA_002451435.1, s__Bifidobacterium sp002451435, 95.0, 80.93, 0.49; GCF_000771405.1, s__Bifidobacterium pullorum, 95.0, 80.88, 0.48; GCF_001025195.1, s__Bifidobacterium catenulatum, 96.3948, 80.85, 0.43; GCF_001025215.1, s__Bifidobacterium pseudocatenulatum, 95.0, 80.82, 0.42; GCF_000741215.1, s__Bifidobacterium gallinarum, 95.0, 80.81, 0.47; GCF_002742445.1, s__Bifidobacterium sp002742445, 95.0, 80.75, 0.44; GCF_009078285.1, s__Bifidobacterium jacchi, 95.0, 80.7, 0.42; GCF_000522505.1, s__Bifidobacterium moukalabense, 95.0, 80.42, 0.42; GCF_001042595.1, s__Bifidobacterium dentium, 95.0, 80.3, 0.4; GCF_012932445.1, s__Bifidobacterium sp012932445, 95.0, 80.2, 0.38; GCF_003951095.1, s__Bifidobacterium goeldii, 95.0, 80.19, 0.33; GCA_002298605.1, s__Bifidobacterium sp002298605, 95.0, 80.09, 0.45; GCF_000741575.1, s__Bifidobacterium cuniculi, 95.0, 79.97, 0.34; GCF_004155535.1, s__Bifidobacterium pseudolongum_C, 95.0, 79.77, 0.35; GCF_000741295.1, s__Bifidobacterium globosum, 95.0, 79.7, 0.39; GCA_000741495.1, s__Bifidobacterium thermophilum_A, 95.0, 79.63, 0.34; GCF_010667615.1, s__Bifidobacterium sp010667615, 95.0, 79.58, 0.35; GCF_000771265.1, s__Bifidobacterium thermophilum, 95.0, 79.51, 0.33; GCF_000741135.1, s__Bifidobacterium choerinum, 95.0, 79.43, 0.37; GCF_000741535.1, s__Bifidobacterium boum, 95.0, 79.38, 0.32; GCF_002259755.1, s__Bifidobacterium hapali, 95.0, 79.33, 0.25; GCF_003952025.1, s__Bifidobacterium castoris, 95.0, 79.27, 0.33; GCF_009299485.1, s__Bifidobacterium apri, 95.0, 79.27, 0.29; GCF_000771225.1, s__Bifidobacterium pseudolongum, 95.0, 79.19, 0.39; GCF_002286915.1, s__Bifidobacterium italicum, 95.0, 79.15, 0.35; GCF_009371885.1, s__Bifidobacterium tibiigranuli, 95.0, 79.09, 0.29; GCF_002860345.1, s__Bifidobacterium anseris, 95.0, 79.08, 0.35; GCF_000741255.1, s__Bifidobacterium magnum, 95.0, 78.87, 0.34; GCF_000260715.1, s__Bifidobacterium animalis, 95.0, 78.83, 0.34; GCF_000741775.1, s__Bifidobacterium subtile, 95.0, 78.79, 0.31; GCF_000741285.1, s__Bifidobacterium mongoliense, 95.0, 78.76, 0.3; GCF_009727065.1, s__Bifidobacterium sp900551485, 95.0, 78.68, 0.28; GCF_001263395.1, s__Bifidobacterium actinocoloniiforme, 95.0, 78.6, 0.19; GCF_002286935.1, s__Bifidobacterium criceti, 95.0, 78.45, 0.3; GCF_003202715.1, s__Bifidobacterium asteroides_E, 95.0, 78.43, 0.16; GCF_003315635.1, s__Bifidobacterium aemilianum, 95.0, 78.38, 0.26; GCF_000741205.1, s__Bifidobacterium gallicum, 95.0, 78.3, 0.21; GCF_000741645.1, s__Bifidobacterium minimum, 95.0, 78.24, 0.24; GCF_003951975.1, s__Bifidobacterium dolichotidis, 95.0, 78.21, 0.13; GCF_003202755.1, s__Bifidobacterium asteroides_F, 95.0, 78.2, 0.17; GCF_000741525.1, s__Bifidobacterium bohemicum, 95.0, 78.12, 0.21; GCF_000263595.1, s__Bifidobacterium vaginale_E, 95.0, 78.11, 0.07; GCF_001546485.1, s__Bifidobacterium vaginale_D, 95.0, 78.06, 0.07; GCF_000263635.1, s__Bifidobacterium vaginale_C, 95.0, 78.05, 0.07; GCF_003408845.1, s__Bifidobacterium vaginale_H, 95.0, 77.94, 0.06; GCF_000025205.1, s__Bifidobacterium vaginale_G, 95.0, 77.91, 0.06; GCF_000706765.1, s__Bifidobacterium indicum, 95.0, 77.9, 0.2; GCF_000741765.1, s__Bifidobacterium tsurumiense, 95.0, 77.88, 0.16; GCF_003315615.1, s__Bifidobacterium xylocopae, 95.0, 77.86, 0.21; GCF_001563665.1, s__Bifidobacterium vaginale_A, 95.0, 77.83, 0.04; GCF_003585845.1, s__Bifidobacterium sp003585845, 95.0, 77.74, 0.07; GCF_001546455.1, s__Bifidobacterium vaginale_B, 95.0, 77.7, 0.07; GCF_002896555.1, s__Bifidobacterium vaginale_F, 95.0, 77.66, 0.07; GCF_003585735.1, s__Bifidobacterium sp003585735, 95.0, 77.62, 0.07; GCF_900094885.1, s__Bifidobacterium commune, 95.0, 77.61, 0.19; GCF_001042655.1, s__Bifidobacterium vaginale, 95.0, 77.52, 0.06; GCF_000741705.1, s__Bifidobacterium psychraerophilum, 95.0, 77.5, 0.16; GCF_000738005.1, s__Bifidobacterium crudilactis, 95.0, 77.49, 0.18; GCF_003202695.1, s__Bifidobacterium asteroides_G, 95.0, 77.49, 0.19; GCF_002884815.1, s__Bifidobacterium sp002884815, 95.0, 77.38, 0.07; GCF_000737845.1, s__Bifidobacterium bombi, 95.0, 77.0, 0.13; GCF_002259795.1, s__Bifidobacterium aquikefiri, 95.0, 76.95, 0.07	95.81	11.0		
262	SPAdesHybrid-CAPES_S21.25.fa	0.0	15.0253	0.0	SPAdesHybrid-CAPES_S21.25.fa	bacteria_odb10	0.8	0.8	0.0	0.8	98.4	124.0								SPAdesHybrid-CAPES_S21.25.fa	128	128	17	3	0	0	415687	415687	130685	32256	0	0	128	11192	415687	34.19	3555	2370	35	73	0.0	0 + 0 part	SPAdesHybrid-CAPES_S21.25.fa																			
263	SPAdesHybrid-CAPES_S21.26.fa	11.97035	19.74375	0.03015495	SPAdesHybrid-CAPES_S21.26.fa	bacteria_odb10	2.4	2.4	0.0	0.8	96.8	124.0								SPAdesHybrid-CAPES_S21.26.fa	8	8	8	6	3	2	248138	248138	248138	234218	191143	148690	8	95134	248138	46.52	53556	42453	2	3	0.0	0 + 0 part	SPAdesHybrid-CAPES_S21.26.fa																			
